VOC_id	CLID_0.7	CLID_0.8	CLID_0.9
VOC_151	cut70_028	cut80_028	cut90_028
VOC_163	cut70_028	cut80_028	cut90_028
VOC_199	cut70_028	cut80_028	cut90_028
VOC_202	cut70_028	cut80_028	cut90_028
VOC_234	cut70_028	cut80_028	cut90_028
VOC_240	cut70_028	cut80_028	cut90_028
VOC_243	cut70_028	cut80_028	cut90_028
VOC_255	cut70_028	cut80_028	cut90_028
VOC_271	cut70_028	cut80_028	cut90_028
VOC_001	cut70_001	cut80_001	cut90_001
VOC_010	cut70_001	cut80_001	cut90_001
VOC_020	cut70_001	cut80_001	cut90_001
VOC_078	cut70_001	cut80_001	cut90_001
VOC_121	cut70_001	cut80_001	cut90_001
VOC_147	cut70_001	cut80_001	cut90_001
VOC_148	cut70_001	cut80_001	cut90_001
