spe.ID	VOC_id	VOC_counts	VOC_name
ACH1	VOC_153	0	Butanoic acid, .alpha.-[(2-methoxy-1,2-dioxoethyl)hydrazono]-
ACH1	VOC_154	0	Butanoic acid, 3-oxo-, 2-propenyl ester
ACH1	VOC_155	0	Butanoic acid, anhydride
ACH1	VOC_156	0	Butyl isopropylphosphonofluoridate
ACH1	VOC_157	0	Carbonic acid 3,5-dichloro-2,6-dimethyl-4-pyridyl ethyl ester
ACH1	VOC_158	0	Carbonic acid, ethyl-, methyl ester
ACH1	VOC_159	0	Chloro-methyl-methoxy-amine
ACH1	VOC_160	0	Chloromethyl chloroacetate
ACH1	VOC_161	0	Chloromethylmethyl sulfide
ACH1	VOC_162	0	Cyanic acid, butyl ester
ACH1	VOC_163	0	Cyclobutane, 1,1,2,3,3-pentamethyl-
ACH1	VOC_164	0	Cyclobutane, 1,2-bis(1-methylethenyl)-, trans-
ACH1	VOC_165	0	Cyclobutanol
ACH1	VOC_166	0	Cyclobutanol, 1-butyl-
ACH1	VOC_167	0	Cyclobutanone, oxime
ACH1	VOC_168	0	Cyclodecene, 3-bromo-
ACH1	VOC_169	0	Cyclododecanemethanol
ACH1	VOC_170	0	Cyclododecanol, 1-ethenyl-
ACH1	VOC_171	0	Cycloheptanol, trifluoroacetate
ACH1	VOC_172	0	Cyclohexane, 1-ethyl-1,3-dimethyl-, cis-
ACH1	VOC_173	0	Cyclohexanemethanol
ACH1	VOC_174	0	Cyclohexanemethanol, .alpha.-methyl-.alpha.-(1-methyl-2-propenyl)-, (R*,S*)-(.+-.)-
ACH1	VOC_175	0	Cyclopentene, 1-ethenyl-3-methylene-
ACH1	VOC_176	0	Cyclopropane, 1-heptyl-2-methyl-
ACH1	VOC_177	0	Cyclopropane, cyclopropylidene-
ACH1	VOC_178	0	Decane, 2,3,6-trimethyl-
ACH1	VOC_179	0	Decane, 2,3,8-trimethyl-
ACH1	VOC_180	0	Decane, 2,8,8-trimethyl-
ACH1	VOC_181	0	Decane, 3,6-dimethyl-
ACH1	VOC_182	0	Decane, 6-ethyl-2-methyl-
ACH1	VOC_183	0	Decanoic acid, 2,8-dimethyl-, methyl ester
